578 3
1.92308 1.78571 -1
0.909091 0.588235 -1
0.307692 0.4 -1
0.1 0.111111 -1
0.266667 0.222222 -1
0.266667 0.4 -1
0 0 -1
7.38095 5.34483 -1
4.64706 3.59091 -1
0.391304 0.6 -1
2.55 1.96154 -1
0.266667 0.307692 -1
0.214286 0.157895 -1
0.555556 0.47619 -1
0.88 0.709677 -1
0.47619 0.588235 -1
0.555556 0.833333 -1
3.37037 4.55 -1
1.80645 2.66667 -1
1.07407 1.03571 -1
1.28571 0.857143 -1
3.92857 2.61905 -1
2.2 2.5 -1
0.375 0.3 -1
0.733333 0.611111 -1
2.42105 1.84 -1
0.333333 0.4 -1
0.545455 0.666667 -1
0.8 0.6 -1
0.272727 0.333333 -1
1.1 0.758621 -1
0.0833333 0.111111 -1
0.166667 0.1875 -1
0.1875 0.15 -1
0.4 0.461538 -1
3.5 4.33333 -1
0.333333 0.4 -1
0.105263 0.117647 -1
0.166667 0.166667 -1
1.58333 2.11111 -1
1.75 1.61538 -1
0.62069 0.692308 -1
0.882353 1.25 -1
0.0769231 0.1 -1
1 0.833333 -1
1.04762 1.15789 -1
0.647059 0.578947 -1
0.636364 0.823529 -1
1 0.882353 -1
1.85185 2.77778 -1
5.6875 3.95652 -1
0.230769 0.222222 -1
3.59091 3.29167 -1
0.333333 0.368421 -1
0 0 -1
0.428571 0.333333 -1
0.166667 0.157895 -1
1.91667 1.53333 -1
4.125 3.47368 -1
5.27586 7.65 -1
0.321429 0.333333 -1
0.722222 0.5 -1
0.26087 0.333333 -1
0.461538 0.4 -1
0.2 0.235294 -1
0.5 0.583333 -1
2.45 2.04167 -1
1 0.764706 -1
0.571429 0.695652 -1
0.0714286 0.0714286 -1
0.4 0.461538 -1
0.25 0.181818 -1
1.68421 1.28 -1
0.4 0.428571 -1
3.16 4.64706 -1
0.473684 0.642857 -1
2.25 3 -1
0.842105 1.14286 -1
1.5 1.6875 -1
1.91667 1.58621 -1
0.214286 0.214286 -1
0.76 1.05556 -1
0.411765 0.368421 -1
0.0625 0.0666667 -1
0.4 0.352941 -1
2.54545 1.64706 -1
1.05 1.3125 -1
0.222222 0.153846 -1
0.142857 0.181818 -1
1.37931 1.66667 -1
2.68182 2.03448 -1
1.61538 1.90909 -1
0.333333 0.25 -1
0.357143 0.3125 -1
0.142857 0.111111 -1
3.54545 3.54545 -1
1.95 2.78571 -1
0.6 0.461538 -1
1 0.882353 -1
0.294118 0.294118 -1
0.157895 0.230769 -1
0.222222 0.181818 -1
0.375 0.285714 -1
0.0909091 0.105263 -1
0.176471 0.157895 -1
0.625 0.555556 -1
0.785714 0.578947 -1
0.6 0.428571 -1
0.368421 0.259259 -1
0.0909091 0.0714286 -1
0.0588235 0.0555556 -1
2.66667 2.46154 -1
0.909091 0.769231 -1
0.111111 0.1 -1
0.884615 0.884615 -1
2.81818 2.38462 -1
1.42308 1.48 -1
2.76923 4.23529 -1
1.3125 1.75 -1
0.142857 0.2 -1
0.777778 1.23529 -1
1.48 2.3125 -1
1.18182 1.04 -1
1.95652 2.64706 -1
0.125 0.08 -1
0.461538 0.285714 -1
0.73913 0.894737 -1
1.66667 1.37931 -1
1 0.862069 -1
0.764706 0.619048 -1
2 3 -1
0.130435 0.157895 -1
0.222222 0.153846 -1
0.1 0.142857 -1
1.95 2.78571 -1
0 0 -1
1.2 1.07143 -1
0.157895 0.142857 -1
0.47619 0.714286 -1
0.666667 0.666667 -1
1.89474 2.11765 -1
1.30769 1 -1
0.272727 0.25 -1
4.38095 3.17241 -1
1.36364 0.882353 -1
0.238095 0.277778 -1
0.352941 0.428571 -1
0.333333 0.428571 -1
1.08333 0.8125 -1
0.318182 0.318182 -1
1.1 0.846154 -1
4.03846 5.83333 -1
2.07407 2.33333 -1
1.25 0.833333 -1
1.3125 1.61538 -1
1.4 1.61538 -1
0.545455 0.5 -1
0.47619 0.344828 -1
0.470588 0.533333 -1
2.28571 1.65517 -1
0.545455 0.428571 -1
1.21739 1.47368 -1
2.80769 3.84211 -1
1.5 1.23529 -1
2.84615 1.94737 -1
0.166667 0.153846 -1
0.166667 0.111111 -1
0.941176 0.592593 -1
0.333333 0.4 -1
1.22222 1.22222 -1
0.285714 0.307692 -1
