1725 9
0.578947 0.647059 0.166667 0.1875 0.894737 1 0.186368 0.259304 1
0.5 0.538462 0.310345 0.36 0.866667 1 0.0925967 0.141986 1
0.714286 0.952381 0.62963 0.85 0.75 1 0.366649 0.86483 1
0.692308 0.642857 0.52 0.481481 1 0.928571 0.334463 0.268061 -1
0.636364 0.470588 0.4 0.25 1 0.647059 0.272727 0.0756303 -1
0.777778 0.75 0.588235 0.526316 1 0.9 0.560284 0.40963 1
0.538462 0.6 0.25 0.333333 0.769231 1 0.124668 0.268571 -1
0.5 0.45 0.315789 0.315789 1 1 0.097037 0.097037 1
0.736842 0.5 0.5 0.333333 1 0.678571 0.404659 0.127376 1
0.4 0.388889 0.105263 0.117647 0.9 1 0.0511111 0.0699088 -1
0.631579 0.611111 0.277778 0.294118 0.947368 1 0.0957722 0.112462 1
0.7 0.5 0.333333 0.230769 1 0.714286 0.274286 0.102345 1
0.823529 0.7 0.375 0.315789 1 0.85 0.533013 0.328889 1
0.6 0.666667 0.214286 0.176471 1 0.833333 0.246957 0.14387 -1
0.857143 0.8 0.555556 0.625 0.892857 1 0.382944 0.537143 1
0.4 0.7 0.214286 0.333333 0.666667 1 0.0730435 0.24 -1
0.909091 0.807692 0.571429 0.48 1 0.846154 0.358059 0.217553 1
0.875 0.724138 0.73913 0.607143 1 0.827586 0.671687 0.381756 1
0.84 0.88 0.666667 0.666667 1 1 0.591619 0.591619 1
0.9 0.8 0.789474 0.789474 1 1 0.528148 0.528148 1
0.666667 0.521739 0.529412 0.409091 1 0.782609 0.301925 0.145579 1
0.615385 0.571429 0.583333 0.538462 1 0.928571 0.244032 0.196162 1
0.6 0.55 0.421053 0.421053 1 1 0.174815 0.174815 1
0.777778 0.75 0.653846 0.62963 1 0.964286 0.472601 0.423954 1
0.272727 0.2 0 0 1 0.733333 0.030303 0.0121739 -1
0.625 0.578947 0.4 0.333333 1 0.842105 0.247126 0.148404 1
0.666667 0.703704 0.346154 0.346154 1 1 0.11868 0.11868 1
0.894737 0.72 0.722222 0.541667 1 0.76 0.721311 0.318476 1
0.689655 0.95 0.607143 0.894737 0.689655 1 0.288335 0.873333 1
0.444444 0.333333 0 0 1 0.75 0.0697674 0.0302013 1
0.538462 0.4375 0.25 0.2 1 0.8125 0.167109 0.0905172 1
0.952381 0.758621 0.9 0.678571 1 0.724138 0.944907 0.360724 -1
0.764706 0.681818 0.75 0.619048 1 0.772727 0.488595 0.226994 -1
0.434783 0.533333 0.272727 0.357143 0.652174 1 0.0312653 0.111304 -1
0.9375 0.652174 0.8 0.545455 1 0.695652 0.826149 0.280899 1
0.9 0.730769 0.684211 0.52 1 0.769231 0.720741 0.329719 -1
0.875 0.666667 0.733333 0.55 1 0.761905 0.673851 0.300448 1
